"7","265","105","hello","2015-05-29 16:46:04","home","2015-05-29 16:46:04","0","0","0",NULL,NULL,"60",NULL,NULL,"7",NULL,NULL
"8","265","105","hello","2015-05-29 16:46:04","home","2015-05-29 16:46:04","0","0","0",NULL,NULL,"60",NULL,NULL,"7",NULL,NULL
"11","272","105","hello","2015-05-29 16:51:11","home","2015-05-29 16:51:11","0","0","0",NULL,NULL,"720",NULL,NULL,"7",NULL,NULL
"14","272","105","hello","2015-05-29 17:08:05","home","2015-05-29 17:08:05","0","0","0",NULL,NULL,"260",NULL,NULL,"7",NULL,NULL
"15","272","105","hello","2015-05-29 17:11:46","home","2015-05-29 17:11:46","0","0","0",NULL,NULL,"300",NULL,NULL,"7",NULL,NULL
"17","272","105","hello","2015-05-29 17:15:18","home","2015-05-29 17:15:18","0","0","0",NULL,NULL,"440",NULL,NULL,"7",NULL,NULL
"19","256","105","hello","2015-05-29 17:53:47","home","2015-05-29 17:53:47","0","0","0",NULL,NULL,"420",NULL,NULL,"7",NULL,NULL
"22","256","105","hello","2015-05-29 17:57:42","home","2015-05-29 17:57:42","0","0","0",NULL,NULL,"540",NULL,NULL,"7",NULL,NULL
"23","256","105","hello","2015-05-29 18:07:12","home","2015-05-29 18:07:12","0","0","0",NULL,NULL,"160",NULL,NULL,"7",NULL,NULL
"24","256","105","hello","2015-05-29 18:51:25","home","2015-05-29 18:51:25","0","0","0",NULL,NULL,"630",NULL,NULL,"7",NULL,NULL
"25","265","122","hello","2015-05-30 01:24:41","home","2015-05-30 01:24:41","0","0","0",NULL,NULL,"60",NULL,NULL,"7",NULL,NULL
"26","265","122","hello","2015-05-30 01:31:54","home","2015-05-30 01:31:54","0","0","0",NULL,NULL,"340",NULL,NULL,"7",NULL,NULL
"27","265","122","hello","2015-05-30 01:35:53","home","2015-05-30 01:35:53","0","9","9",NULL,NULL,"180",NULL,NULL,"7",NULL,NULL
"28","265","122","hello","2015-05-30 01:38:03","home","2015-05-30 01:38:03","0","10","6",NULL,NULL,"120",NULL,NULL,"7",NULL,NULL
"29","265","122","hello","2015-05-30 10:13:08","home","2015-05-30 10:13:08","0","10","6",NULL,NULL,"120",NULL,NULL,"7",NULL,NULL
"30","265","122","hello","2015-05-30 12:44:22","home","2015-05-30 12:44:22","0","10","6",NULL,NULL,"120",NULL,NULL,"7",NULL,NULL
"31","269","105","hello","2015-05-30 13:32:54","home","2015-05-30 13:32:54","0","0","0",NULL,NULL,"330",NULL,NULL,"7",NULL,NULL
"32","265","122","hello","2015-05-30 13:39:48","home","2015-05-30 13:39:48","0","10","6",NULL,NULL,"120",NULL,NULL,"7",NULL,NULL
"35","303","105","hello","2015-05-30 15:41:23","home","2015-05-30 15:41:23","0","0","0",NULL,NULL,"210",NULL,NULL,"7",NULL,NULL
"36","269","122","hello","2015-05-30 15:50:31","home","2015-05-30 15:50:31","0","20","12",NULL,NULL,"240",NULL,NULL,"7",NULL,NULL
"37","256","122","hello","2015-05-30 15:56:30","home","2015-05-30 15:56:30","0","10","8",NULL,NULL,"160",NULL,NULL,"7",NULL,NULL
"38","256","122","hello","2015-05-30 16:01:21","home","2015-05-30 16:01:21","0","10","8",NULL,NULL,"160",NULL,NULL,"7",NULL,NULL
"39","256","122","hello","2015-05-30 18:12:32","home","2015-05-30 18:12:32","0","10","8",NULL,NULL,"160",NULL,NULL,"7",NULL,NULL
"40","256","122","hello","2015-06-01 12:14:53","home","2015-06-01 12:14:53","0","5","3",NULL,NULL,"60",NULL,NULL,"7",NULL,NULL
"41","269","105","hello","2015-06-01 15:01:01","home","2015-06-01 15:01:01","0","0","0",NULL,NULL,"330",NULL,NULL,"7",NULL,NULL
