"1","292","0.0.10.2","2017-04-19 15:09:16","0","0000-00-00","1493","2016-06-16 21:06:45"
"2","257","0.0.10.2","2017-02-20 21:24:11","0","0000-00-00","3615","2017-02-20 21:23:02"
"3","306","0.0.10.2","2017-03-04 15:41:15","141","2017-05-26","2629","2016-11-30 17:08:54"
"4","782","0.0.10.2","2017-05-11 10:45:18","0","0000-00-00","1529","2016-06-22 17:52:40"
"5","280","0.0.7","2016-02-16 18:25:50","112","2016-02-16","297","2015-07-28 07:50:29"
"6","256","0.0.10.2","2017-05-26 14:49:07","301","2017-05-26","6333","2017-05-24 13:36:24"
"7","1198","0.0.7","2016-04-18 20:26:52","0","0000-00-00","0","0000-00-00 00:00:00"
"8","270","0.0.9","2016-10-11 17:56:27","0","0000-00-00","0","0000-00-00 00:00:00"
"10","507","0.0.10.2","2017-04-21 01:13:44","0","0000-00-00","3359","2017-02-08 15:26:15"
"9","1219","0.0.9","2016-08-31 14:58:44","174","2016-08-31","1945","2016-08-26 17:28:12"
"11","1674","0.0.7","2016-02-03 18:56:46","199","2016-02-03","0","0000-00-00 00:00:00"
"12","798","0.0.7","2016-02-04 15:54:40",NULL,NULL,NULL,NULL
"13","302","0.0.10.2","2017-05-25 16:50:54","0","0000-00-00","4297","2017-03-25 11:51:33"
"14","1829","0.0.7","2016-03-01 17:49:06","0","0000-00-00","0","0000-00-00 00:00:00"
"16","1930","0.0.7","2016-03-01 13:30:02","121","2016-03-01","1041","2016-02-29 16:52:43"
"15","1619","0.0.7","2016-04-04 13:22:13","0","0000-00-00","0","0000-00-00 00:00:00"
"17","1934","0.0.7","2016-03-01 15:16:30","217","2016-03-01","0","0000-00-00 00:00:00"
"18","1935","0.0.7","2016-03-03 17:24:50","212","2016-03-03","1053","2016-03-03 16:16:08"
"20","1949","0.0.7","2016-03-05 12:16:03","0","0000-00-00","0","0000-00-00 00:00:00"
"19","1943","0.0.7","2016-03-07 16:47:40","188","2016-03-07","0","0000-00-00 00:00:00"
"21","1951","0.0.7","2016-03-05 14:38:56","0","0000-00-00","0","0000-00-00 00:00:00"
"24","1963","0.0.7","2016-03-07 14:07:37","0","0000-00-00","0","0000-00-00 00:00:00"
"22","1953","0.0.7","2016-03-06 23:55:55","0","0000-00-00","0","0000-00-00 00:00:00"
"23","1962","0.0.7","2016-03-19 18:53:14","0","0000-00-00","1127","2016-03-19 12:25:27"
"25","1965","0.0.7","2016-03-07 15:03:03","0","0000-00-00","0","0000-00-00 00:00:00"
"26","490","0.0.7","2016-03-07 17:13:29","0","0000-00-00","423","2015-08-20 18:34:29"
"39","947","0.0.7","2016-07-06 21:52:03","0","0000-00-00","1611","2016-07-06 21:51:36"
"53","862","0.0.10.2","2017-05-02 19:40:02","0","0000-00-00","5617","2017-05-02 19:39:50"
"136","2056","0.0.7","2016-03-29 14:09:47","150","2016-06-05","0","0000-00-00 00:00:00"
"27","1981","0.0.7","2016-07-03 12:14:44","202","2016-07-03","1168","2016-03-27 19:18:37"
"28","1781","0.0.7","2016-03-20 17:11:57","0","0000-00-00","1015","2016-02-21 20:20:28"
"29","1874","0.0.10.2","2017-02-24 19:30:30","253","2017-02-24","0","0000-00-00 00:00:00"
"30","1683","0.0.7","2016-03-27 20:25:54","0","0000-00-00","942","2016-02-05 21:04:59"
"31","1947","0.0.7","2016-04-25 18:42:18","0","0000-00-00","1075","2016-03-06 21:30:47"
"32","1822","0.0.7","2016-03-16 20:01:19","156","2016-03-16","1101","2016-03-12 19:37:15"
"33","1365","0.0.7","2016-03-24 14:08:10","0","0000-00-00","0","0000-00-00 00:00:00"
"34","1116","0.0.10.2","2017-04-30 19:49:52","0","0000-00-00","3599","2017-02-19 20:18:57"
"35","1931","0.0.7","2016-03-13 00:09:59","0","0000-00-00","1043","2016-02-29 19:59:42"
"36","756","0.0.10.2","2017-05-11 01:03:58","0","0000-00-00","1153","2016-03-25 17:46:07"
"37","1645","0.0.9","2017-03-13 12:40:37","261","2017-03-13","0","0000-00-00 00:00:00"
"38","1547","0.0.10.2","2017-05-24 18:36:45","0","0000-00-00","6161","2017-05-18 18:54:38"
"300","1287","0.0.10.2","2017-05-03 22:58:47","0","0000-00-00","1653","2016-07-17 16:20:32"
"40","1620","0.0.7","2016-03-24 10:05:25","0","0000-00-00","0","0000-00-00 00:00:00"
"66","1396","0.0.7","2016-03-19 10:14:50","0","0000-00-00","0","0000-00-00 00:00:00"
"41","1823","0.0.10.2","2017-05-06 20:48:29","0","0000-00-00","4696","2017-04-09 19:35:02"
"42","1995","0.0.7","2016-03-15 13:05:11","0","0000-00-00","0","0000-00-00 00:00:00"
"43","1996","0.0.7","2016-08-23 21:25:07","202","2016-08-23","1110","2016-03-15 14:36:33"
"44","1997","0.0.7","2016-03-15 17:40:25",NULL,NULL,NULL,NULL
"45","1998","0.0.7","2016-06-17 23:30:44","0","0000-00-00","1320","2016-04-29 12:59:22"
"46","1413","0.0.9","2016-11-13 21:06:40","0","0000-00-00","1167","2016-03-27 19:04:46"
"47","1999","0.0.7","2016-03-16 05:41:45","0","0000-00-00","0","0000-00-00 00:00:00"
"48","332","0.0.10.2","2017-05-26 13:28:37","0","0000-00-00","6227","2017-05-20 22:19:46"
"49","2000","0.0.7","2016-03-22 14:38:05","0","0000-00-00","0","0000-00-00 00:00:00"
"50","1395","0.0.7","2016-03-16 13:34:17",NULL,NULL,NULL,NULL
"51","1151","0.0.9","2016-12-24 20:04:04","0","0000-00-00","2873","2016-12-24 19:59:32"
"52","296","0.0.10.2","2017-04-02 12:31:15","0","0000-00-00","2829","2016-12-20 19:02:09"
"54","2002","0.0.7","2016-03-16 21:09:26","0","0000-00-00","1118","2016-03-16 20:32:42"
"55","1940","0.0.7","2016-03-16 22:28:36","0","0000-00-00","0","0000-00-00 00:00:00"
"56","1733","0.0.7","2016-03-22 20:11:04","0","0000-00-00","0","0000-00-00 00:00:00"
"57","1760","0.0.10.2","2017-05-26 11:18:28","0","0000-00-00","6371","2017-05-25 13:46:15"
"58","1948","0.0.9","2016-12-21 02:53:09","0","0000-00-00","2653","2016-12-02 15:31:54"
"59","942","0.0.10.2","2017-02-08 19:54:49","0","0000-00-00","2769","2016-12-15 13:41:52"
"60","2004","0.0.7","2016-03-17 20:58:34","0","0000-00-00","1124","2016-03-17 20:58:12"
"61","1319","0.0.7","2016-07-18 21:55:42","0","0000-00-00","1175","2016-03-27 21:32:12"
"62","1582","0.0.9","2017-05-07 15:43:01","0","0000-00-00","0","0000-00-00 00:00:00"
"63","1729","0.0.7","2017-05-12 19:46:42","0","0000-00-00","0","0000-00-00 00:00:00"
"64","2005","0.0.7","2016-03-18 16:03:51","202","2016-03-18","0","0000-00-00 00:00:00"
"65","683","0.0.7","2016-03-20 11:57:36","0","0000-00-00","0","0000-00-00 00:00:00"
"67","1106","0.0.10.2","2017-04-21 20:36:20","141","2017-04-21","2452","2016-11-12 19:36:28"
"68","556","0.0.7","2016-03-19 19:14:57",NULL,NULL,NULL,NULL
"69","1079","0.0.10.2","2017-05-01 11:42:50","0","0000-00-00","0","0000-00-00 00:00:00"
"70","2010","0.0.7","2016-04-17 10:16:44","138","2016-04-17","0","0000-00-00 00:00:00"
"71","1925","0.0.10","2017-01-29 20:30:15","0","0000-00-00","1191","2016-04-03 19:17:25"
"72","2011","0.0.7","2016-03-20 10:53:44","0","0000-00-00","0","0000-00-00 00:00:00"
"73","1609","0.0.10.2","2017-05-13 16:26:50","0","0000-00-00","1924","2016-08-23 19:27:22"
"74","2013","0.0.7","2016-03-23 00:14:21","0","0000-00-00","0","0000-00-00 00:00:00"
"75","2014","0.0.7","2016-03-20 19:24:39",NULL,NULL,NULL,NULL
"76","2015","0.0.7","2016-03-20 19:31:03","0","0000-00-00","0","0000-00-00 00:00:00"
"77","1188","0.0.10","2017-01-28 19:40:20","0","0000-00-00","0","0000-00-00 00:00:00"
"78","2017","0.0.7","2016-03-20 19:53:35",NULL,NULL,NULL,NULL
"79","2019","0.0.7","2016-03-20 21:56:33",NULL,NULL,NULL,NULL
